user01,8837.00,2000/01/11
user02,8837.00,2000/01/11
user03,15000.00,2000/01/11
user04,15000.00,2000/01/11
user05,7812.00,2000/01/18
user06,7812.00,2000/01/18
user07,10200.00,2000/01/18
user08,10200.00,2000/01/18
user09,13800.00,2001/05/20
user10,13800.00,2001/05/20
user11,18880.00,2001/05/20
user12,18880.00,2001/05/20
user13,8000.00,2001/07/13
user14,8000.00,2001/07/13
user15,6000.00,2001/07/13
user16,19470.00,2001/07/13
user17,19470.00,2001/07/13
user18,10200.00,2001/07/16
user19,10200.00,2001/07/16
user20,25000.00,2001/07/16
user21,7812.00,2001/07/16
user22,7812.00,2001/07/16
user23,12210.00,2001/11/24
user24,12210.00,2001/11/24
user25,7500.00,2001/11/24
user26,15020.00,2001/11/24
user27,15020.00,2001/11/24
user28,25000.00,2001/11/24
user29,7812.00,2001/11/24
user30,15020.00,2001/12/12
user31,15020.00,2001/12/12
user32,12210.00,2001/12/12
user33,12210.00,2001/12/12
user34,19470.00,2008/08/17
user35,19470.00,2008/08/17
user36,8000.00,2008/08/17
user37,8000.00,2008/08/17
user38,18880.00,2009/06/11
user39,18880.00,2009/06/11
user40,14000.00,2009/06/11
user41,13800.00,2009/06/11
user42,13800.00,2009/06/11
user43,15000.00,2009/10/06
user44,15000.00,2009/10/06
user45,13000.00,2009/10/06
user46,8837.00,2009/10/06
